Polarity,Text
Pos, بالنسبة للالتيما فيه مدرس سوداني معه 2006 و ستة سلندر و محافظ عليها و ما تشكي من شي و معه زي الحلاوة.
Pos,"مكاين نيسان من افضل المكاين, شوف الدداسن و الفتكات ما شاء الله تعيش سنوات طويلة. حتى الألتيما و المكسيما و الصني فيه موديلات من التسعينات للحين عايشه."
Pos,الشهادة لله تايوتا سيارات تحمل و الي يقول غير كذا يبلط البحر.
Pos,محرك نيسان اللي على التيما اختير من أحسن 10 محركات على العالم.
Neg,معي التيما شاريها مخزنه ونظيفة و عذبتني بالخرابات مع اني محافظ.
Neg,ليش النيسان يهربد بسرعة و يتفكفك مع اني يا الله امشيها.
Neg,سعرها على مواصفاتها جدا ممتاز.
Neg,اهم عيب صرفية البنزين فل 60 لتر ب 60 ريال المشكلة يمشيك الى 400 كم.
Neg,"قطع غالية, وكيل سيء و شكله مش و لا بد ومن عرفته وهذا شكله."
Neg,ما فيه شي يلفت لا شكل و لا قطع غيار و لا صرفية و لا فيه سعر عند اعادة البيع.
Neg,المكيف يضعف أثناء الوقوف.
Neg,عيوبه من وجهة نظري طبعا قاسي في المطبات.
Neg,انا من رأيي لك سيارة ما تصلح للاستخدام الشخصي و العائلي و صوتها كله ازعاج.
Pos,مميزاته قوي في البر و يتحمل و موتر خدوم و مواصفاته على سعره جدا ممتازة.
Pos,معروفة من افضل السيارات الرياضية عملية و تقدر تستخدمةا استخدام شخصي هذا شي معروف فيها.
Pos,سيارة عملية و افضل سيارة رياضية قليلة الخرابات هي الموستنج موديلات 2005 إلى 2009.
Neg,العيوب المطب قاسي شوي بسبب الجنوط 18 المفروض تكون 17.
Neg,من أهم عيوبه بالنسبة لي عزل الهواء ضعيف.
Pos,السيارة رياضية و عملية و أعطالها قليلة خصوصا فئة GT.
Neg,وضعية المرتبة غير مريحة خصوصا للمسافات الطويلة.
Neg,المرتبة الثالثة غير صالحة للاستخدام الآدمي.
Neg,عندي كيا اوبتما 2015 مكيفها ما يبرد و دفع الهواء مره ضعيف مدري وش المشكلة.
Pos,على العموم جوده قطع موستبيشي ما عليها غبار وتعتبر من السيارات القليلة الي تركب فيها قطعه و تنساها.
Pos,لا يخفى عليكم السمعة الطيبة لسيارات تويوتا و ماسكة سعرها بالسوق بحجة انها عملية و حقت كرف و قطعها متوفرة و رخيصة.
Neg,بصراحه البحث عن قطعه متعبة و غالية جدا و ما تتوفر إلا بالوكالة خصوصا.
Neg,يسخن القير عند طلوع بعض المرتفعات.
Neg,يستهلك بنزين بشكل جنوني.
Pos,طاحوا فيها الناس الفترة الأخيرة بسبب سعرها.
Neg,تقنياتها قديمة و قطعها نار، و الله يا أخوي إني ناصح لك ابتعد عن هذه السيارة.
Neg,القير سخن بسبب عقبة بسيطة تطلعها الآكسنت و الالنترا دون مشاكل، لكن تفاجانا بتسخين القير و السيارة جديدة و المكينة 3800.
Pos,خذ المونتيرو سبورت مطبه اريح ناعم مقاعد اريح صرفية وقود أقل عزل افضل و خدوم.
Pos,شوف المونتيرو صرفية بنزين حلوة فخامة و راحه افضل.
Pos,مكيف في اغلب الاوقات فريزر ما شاء الله من أبرد السيارات اللي ركبتها.
Mix,الكوري مواصفات حلوة و أشكال حلوة لكن ما يقارن من ناحية القوة و العملية بالياباني و بالأخص تويوتا.
Pos,رساوته ممتازة مقارنة بفئته.
Pos,ما تعرف الورش بإذن الله.
Pos,سعر مناسب جدا مع مواصفات ممتازة.
Pos,ايرباقات كاملة و أمان عالي و الحافظ الله.
Neg,المكيف اذا وقفت في عز الحر ربع ساعة يخف تبريده بشكل كبير و المكيف الخلفي يقلب صحراوي.
Mix,بعض الملاك اشتكوا من ارتفاع حرارة القير في التطعيس و صعود المرتفعات بس شخصيا ما قد ارتفعت عندي الحمد لله.
Mix,تويوتا مو مثل أول لكن من ناحية العملية و الكرف و توفر قطع الغيار هو رقم واحد.
Neg,يصرف بنزين بشكل عالي.
Neg,كان معي ديهاتسو سريون قبل 7 سنوات وكيلها أبو جميل القطع نار الكمبرسر 4 الف و قدر الله و صار عليها حادث سعرت القطع طلعت 13 الف شي و لا في الخيال من الجشع و الخبث.
Pos,معي نيسان صني قطع في كل مكان و درجات و رخيصة مثلا بواجي 50 ريال فقط.
Pos,فيها ما شاء الله مواصفات و أنظمة كثير.
Neg,عندي اكسنت كان فيها تهريب في كارتير القير.
Mix,ال TOYOTA ما لها مثيل تكد و تصبر صح انها قاسية و غير مريحة بالشكل المطلوب لكن ما يهم المهم ان السيارة تصبر و تكد.
Mix,رغم كرهي لتويوتا بسبب الوكيل إلا أن كلمة الحق أن سياراته أكثر سيارات اعتمادية و قلة أعطال.
Neg,عندي مشكلة اللي هي تقطيع بسيط على سرعة 30 او 40 ما له حل.
Neg,ناس قالوا القير عندك منتهي يبي له توضيب.
Neg,فيه شخص قال لي عندك المنظم اللي هي الدعسة او الثروتل فيه مشكلة و يبي له تغيير كامل.
Neg,الموتر وهو واقف فيه رجفة زايدة.
Neg,الاكسنت موديل 2016 و2017 عليها استدعاء من الوكالة فيها خلل بالنظام و تحتاج برمجة.
Neg,انا طلعت اكسنت 2017 وكالة اذا شغلت المكيف ترجف المكينة و تطفي.
Neg,القهر ان الشكل ما تغير أبدا وبكره تشوف أسعاره بالعلالي.
Neg,شفتة غالي بالمعارض على غير سنع.
Neg,عندي مشكلة و هي اثناء السير بالسيارة و كل دعسة مع البنزين أسمع صوت من داخل الكبوت و بالقرب من حساس الهواء و مع الطلعات يكون واضح بالتحديد مثل قرر.
Mix,من ناحية قطع الغيار البدي اشهد بالله انها رخيصة رخص التراب لكن القطع الاستهلاكية و الميكانيكية غالية.
Mix,المازدا 3 مجربها ممتازة راسية و صرفية ممتازة بس مشكلتها ما فيها راحه ذاك الزود.
Mix,جربت المازدا في الخط بصراحه افضل مما توقعت لكن أشوف صرفيتها لك عليها شوي.
Neg,المازدا كراسيةا غير مريحة و تسبب لك الألم بالظهر.
Pos,خذلك اكورد من 2008 الى 2012 راسية و مريحة و عزلها حلو على 120 و بنزين تعبي 91 55 ريال يكفي 700 كيلو بالراحه و أكثر.
Pos,اذا تبي موتر حلو  و غير مزعج بالخطوط خذ لك كيا ريو 2012 الى 2017 مريحة و حلوة و وسيعة.
Pos,الهايلكس عزم و فزة ما شاء الله  و180 تجيبه بالراحه.
Pos,بالنسبة لسعر فلتر الهواء 125 ريال سعر عادي جداً و لا يعتبر غالي.
Neg,ما عجبني الفورتشنر الشكل الجديد مره خاصه الربل السودة في الرفارف مخربة المنظر.
Mix,تويوتا صحيح أسعار عالية و مواصفات قليلة لكن سيارات تتحمل الكرف و تتحمل تضاريسنا و سواقتنا بخصوص قطع الغيار تعتبر متوسطة الى غالية.
Neg,عندي يارس 2008 قير عادي السيارة صار عزمها و استجابتها ضعيفين يعني يا الله تجيب 140-150 بالكثير.
Neg,عندي مشكلة من اسبوعين في الاكورد ستاندرد 2014 تفتفة قوية و عزم ضعيف و رجة في المحرك.
Neg, صارت المكينة تتفتف و ترجف.
Pos,سيارات قوية و جبارة الهيمي مميزاتها قوية و مريحة و جميلة الشكل الداخلي و الخارجي.
Neg,عيوبها دفع رباعي مستمر متواصل تصرف بنزين.
Pos,اجمالا من ناحية القوة و العزم و الفخامة لا يعلي عليها.
Pos,انصحك بالالتيما 2017 تحصل الخليجي بمثبت سرعة 59 الف تقريبا مقاعدها مريحة جدا و اقتصادية في البنزين و حسنوا القير صار الجيل الثالث و ما عليه ملاحظات و السعر طيب و مقبول.
Pos,عملي و اقتصادي بالبنزين و قطع غياره رخيصة.
Pos, سيارة حلوة و عملية و اقتصادية و تنفع نوعا ما للخطوط.
Mix,انا معي التيما 2011 فعلا موتر عملي و اقتصادي بس شوي متعب في الخط.
Pos,ممتازة جدا و في الخط ما يصرف أبدا و عملي.
Pos,اشتريت الالتيما و مرتاح عليها مسألة تعود كلما شفت الحرارة على الربع ثابتة و المكيف ثلاجة و موفرة بنزين الحمد لله مريحة لخط ساعتين ثلاث.
Mix,سيارة معروفة بقوتها وعمليتها و أيضا شكلها جميل و تصلح للخطوط بس قطع الغيار معروف الهوندا غالية.
Mix,عيوب تويوتا ارتفاع سعرها و قلة المواصفات فقط و مميزاتها غطت على عيوبها.
Neg,الازيرا يشتكون من التكييف.
Pos,الكوري ممتاز يميزة عملي جدا و قطع غياره رخيصة 30 الف تجيب للك النترا 2016.
Pos,هي مصنوعة للخطوط و قطعها متوفرة و مقاعدها مريحة.
Mix,السيارة ما شاء الله رائعة جدًا و لكن عندي مشكلة اللي هي السيارة فيها نفضة خفيفة من سرعة 20 الى 60 تحس السيارة تثقل.
Pos,أرشح لك الصني 2016 نصف فل بي 28 الف على يدك وكالة تكرفها خطوط ما تشيل همها جديدة و مكيفها ثلج يعزك.
Pos,المعروف انه حق كرف و مريح.
Neg,مراتبه قاسية و انا اقول هالكلام لأني جربت الهونداي من الاكسنت للازيرا بطريق الشرقية يعني توصل و ظهرك يوجعك.
Pos,توروس 2013 لو لقيت موتر جدا ممتاز بالخطوط راحه و مكيف ممتاز.
Neg,انا مطلع كامري 2013 من أخذتها وكالة فيه رجة بالقير اذا كانت دعسة خفيفة من 40 إلى 80 و وديتها الوكالة بعدها برمجوها و قسم بالله صارت أخس من أول.
Pos,افالون موديل 2010 جدا ممتازة في الخط سريعة جدا.
Mix,سيارة أمان و راحه و عزم يعيبها بس استهلاك البنزين عالي شوية.
Neg,أروح الجبيل على سيارة الشركة كامري 2014 اوصل و ظهري متكسر و تعبان.
Pos,أشوف الفكتوريا مريحة و مناسبة للخطوط و قطع غيار مناسبة و خدوم.
Mix,الحمد لله خادمتني و اقتصادية حلوة لداخل البلد بس متعبة بالنسبة للخط.
Neg,التورس و لله الحمد تم بيعها بعد معاناة معها و مع قطع غيارها و كثرة خراباتها.
Pos,صبور بشكل و قطع متوفرة بالهبل و أسعار معقولة.
Mix,السيارة خدومة جدا عيبها مخ القير دايما يتعطل و بسبب مبرد الزيت يكون تبريده ضعيف و ترتفع حرارة القير و يبدأ يلخبط في الغيارات.
Neg,أكثر ما يغبني في الافالون XL و التورنق الجنوط المكحلة أحسها مضيعة هيبة السيارة و عدم وجود الزينون.
Neg,شريت سيارة جنوطها 21 و مره متعبة مع المطبات يعني اي مطب تناقز رحت للبنشري لقيت الكفر 35 يعني الهواء ممتاز فيه.
Neg,الباجيرو قاسي و قطع غالية و ما تحصل ناس تصلح و يشرب بنزين واجد و غير مريح.
Pos,استخدمة سنوات و يتحمل الكرف.
Mix,التاهو ممتاز و مريح لكن السعر عالي.
Pos,صبور و يتحمل الكرف في الخط راسي جدا.
Pos,تحسنت صرفية البنزين مع المكينة الجديدة 6 سلندر.
Pos,الصني مؤخرا لاحظناها تنتشر. بالنسبة للمميزات في الصني مكيف ممتاز و واسعة داخليتها بالمقارنة مع المنافسين و أقل سعر في فئتها.
Pos,أشوف ان سعرها جدا مناسب و السيارة يمدحون مكيفها لكن من ناحية التحمل ما عندي علم بس أشوفها منتشرة عندنا.
Pos,يصلح للسفر مريح و ممتاز في البر.
Pos,تاهو و ارفع يدك شكل جديد ما بيتغير و صرفية طيبة و شكل داخلي و خارجي جميل و مواصفات ممتازة.
Pos,أرشح لك التاهو ما شاء الله في الخط مريح جدا و ما يصرف في الخط و انا مجرب ذا الشيء في البر يؤدي الواجب.
Pos,الاكسبدشن حلو و سعر طيب و الحين حسنوا فيه من ناحية الصرفية و القوة.
Pos,تاهو صرفية طبيعية، شكل ما راح يتغير على الأقل بعد 5 سنوات ، قطع غيار متوفرة بكثرة، راحه سفر او مدينة.
Neg,انحش من التاهو 2015 فيه خلل مصنعي خطير جداً.
Pos,الجيب مريح راسي مكيف ثلج طيارة ما شاء الله.
Pos,خذ لك لاند كروزر استعمال قليل تحصل بسعرك عملي و مريح و الصرفية معقولة و قطع غيار و صيانة ممتازة.
Pos,انا مستخدم 2007 الشكل السابق و بعتها بعد 6 سنوات سيارة قوية و عزم ممتاز مقارنة بفئتها.
Neg,من عيوبها طلع عندي صوت اذا شبك المكيف و الصوت متكرر ما دام المكيف شغال و تسمعه و انت تمشي يعني كل 30 ثانية تقريبا.
Mix,عيبه مثل ما ذكرت 6 سلندر فقط و هذي مكينة ضعيفة شوي على مثل هالسيارة الكبيرة لكنها تقوم بالواجب.
Pos,سيارة صغيرة واسعة فيها مواصفات أمان الحد الادنى من أقل فئة بسعر معقول و مكيف نيسان اللي يثلج الصدر.
Pos,بصراحه سيارة فخمة و خفيفة و اقتصادية و من الاخير سيارة رائعة جدا بكل المقاييس.
Mix,السيفيك عزلها و عزمها رائع طبعا سعر السيفيك مبالغ فيه.
Pos,سيارة من شركة معروفة ما عليها كلام و مكيفها بارد جدا و صغر حجمها يريح في الزحمات.
Neg,انا كانت معاي التيما 2014 ماخذها و كاله ما كملت سنتين الا و القير خبط و بعتها و الله يعوض علي خير منها.
Neg,الدقسن مكسيكي و فشل لسوء الجوده.
Neg,الارماد الاكسترا وقف انتاجه لضعف المبيعات.
Mix,صني سيارة جيدة و عملية الا ان شكل السيارة ما خدمةا كثير.
Pos,افضل سيارة في فئتها من ناحية السعر، سعر منافس جداً مقارنة بالمنافسين واسعة و مكيف ممتاز و القير تبترونيك و ليس CVT و هذا جعل الناس تقتنع فيها مما أدى لانتشارها.
Pos,سيارة رايقة سعرها رخيص و عملية و مكيف ثلج و واسعة و راسية مقارنة بفئتها و من الاستاندر تجي مكينة كبيرة 1500.
Pos,سعرها طيب جدا مع ارتفاع البنزين.
Neg,مكاين السوناتا فيها عيب مصنعي لكن الشركة و الوكيل مهو راضيين يعترفوا فيها و بامريكا فيه دفعة تم استدعائها عشان المكينة.
Neg,عندي سيارة لانسر 2004 فيها رجة شديدة في الدركسون و المكينة فيها تفتفة خصوصاً لما أكون واقف في الاشارة و القير على D و أحيانا لما اتحرك السيارة تنطفي مع تشغيل المكيف.
Neg,بعض السيارات مهما تحافظ عليها لابد من المشاكل بسبب سوء التصنيع و اذا تبغى الشور ابعد عنها.
Neg,اصلا الشركات بتوقف تصنيع 6 سلندر لهذي الفئه لأنه تستهلك بنزين على الفاضي.
Neg,ما الومهم انهم وقفوا تصنيعها. السيارة شبه منقرضة عندنا بالسعودية و شكلها أخيس من شكل الكامري و على ما سمعت ان فيها عيب مصنعي بالقير.
Neg,التويوتا فقيرة بالمواصفات.
Neg,سيارة لا مكان لها من الإعراب. سيارة من دون مواصفات و تشرب بنزين ما هو صاحي و شكلها قبيح و مشهورة بتخبيط القير.
Pos,كشبابي و داخلية و اريح اكيد الكرايزلر لانها دفع خلفي.
Neg,الكرايزلر ثقيلة جدا و الداخلية مصنوعة من أرخص المواد الجلد و البلاستيك سيء جدا و رخيص وما فيها رساوة .
Pos,التورس ممتازة جدا و جودتها عالية و قليل ما تطلب صيانة.
Neg,سيارة قيمتها في حدود 150 و جوده المواد رديئة.
Neg,الكلايسلر من السيارات السيئة في توفر قطع الغيار الافضل الابتعاد عنها.
Pos,السيارة عزمها جدا ممتاز و قيادتها ممتعة مره هذي لحالها ميزة.
Mix,قطعها غالية بس تستاهل تحط فيها لأنها تكد معاك و تطول.
Pos,المواصفات ممتازة جدا خصوصا المثبت الذكي افادني جدا.
Mix,قطع الغيار من متوسط لغالي لكن تحط القطعة و تنساها.
Pos,السيارة وسيعة من جوه و الديكور الداخلي جميل و رايق يشعرك بالفخامة.
Neg,سيارتي فورد اكسبيدشن  2014 اليوم و انا طالع عقبة الهدا فجأة قل عزم السيارة و توقفت و انا في أعلى العقبه.
Pos,الكوريس أميرة كوريا، سيارة الرفاهية و القوة و العزم و العزل و التقنية مواصفاتها و مميزاتها موجوده و منتشرة في كل مكان، وهي مواصفات عالية الزبدة الموتر ما عليه كلام.
Neg,أكثر القطع غير متوفرة لازم طلبية. الوكالة في كل دورة صيانة يقولون لي خذ السيارة لحد ما نوفر القطع من دبي!.
Neg,مسكة الطارة مثلثة غير مريحة.
Neg,طقطقة المراتب الامامية أثناء القيادة، و هي مشكلة مصنعية موجوده في أغلب سيارات كوريس. توديها الوكالة يقولون خلاص بنشد المسامير. بعد أسبوعين ترجع نفس المشكلة.
Neg,الوكيل الجبر سيء و يناور و يتهرب من خدمة العميل.
Mix,منظرها من الوجهية متواضع، و لا يليق بمستوى السيارة. اما الخلفية فملفتة و فاخرة.
Mix,بالنسبة لقطع الغيار، بعضها غالي مبالغ فيه و بعضها متوسط.
Neg,التكاية الجانبية قاسية و غير مريحة ، و مع الأيام سببت لي ألم بالمرفق الأيمن.
Neg,اكيد ما هي منتشرة و لا راح تنتشر ليش من الذكي اللي معاه قيمتها و يروح يطلع كيا !.
Pos, لكزس افضل وكيل و صيانة قوية.
Mix,السيارة فخمة أملك 2014 فل كامل مواصفات رهيبة يعيبها سعر قطع الغيار غالي و الوكيل سيء.
Neg,شريت وحده من سنة 2016 ما تصلح الا جوه البلد و تناقز على المطبات و الهواء يلعب فيها مره ما هي مريحة.
Mix,الاكسنت حقت كرف ما هي حقت راحه ! .
Neg,مشكلة عندي بدأت بعدم اشتغال الاصطبات الامامية و الخلفية و بعدها احس السيارة عزمها ضعيف.
Pos,الالنترا قسط أقل و مواصفات أعلى و مكينة 2000.
Pos,ميزة الكورلا في التكييف.
Neg,مشاكل التكييف في الكوري واجد.
Neg,انا شخصيا يهمني التكييف جدا و أشوف انه عيب كبير في الكوري.
Pos,الافضل النترا قطعها مناسبة و سعرها مناسب للشراء و عملية و مواصفات مرغوبة.
Neg,كورلا غالية و لا فيها مواصفات و تيوان و ليست يابانيه و قطعها غالية.
Neg,النترا مشاكل في التكييف و الجوده ماش.
Neg,تيوانيه لا مواصفات و لا شيء قطع غالية.
Neg,سيارتي القديمة كورلا ما فيها لا جوده و لا رساوة و لا مواصفات و بودي ورق ينفك مع الخطوط آخر شي دقيتها بمسمار الكلبسات عيت تمسك الصدامات.
Mix,الالنترا قطعها أرخص اتوقع لكن عمرها الافتراضي اقصر.
Pos,قطع غيار رخيصة و مكيف ممتاز.
Pos,مواصفات الددسن السعودي افضل.
Pos,واحد من الشباب يقرب لي عنده تويوتا كوستر يمكن من قبل 15 سنة كرف و سفريات راحه و تبريد و قوة و على الخط ثبات سافرنا فيه أكثر من مره الحمد لله أشوفه ممتاز.
Pos,الكوستر افضل من ناحية الانتشار و توفر قطع الغيار.
Neg,انحش ذا يصرف بنزين.
Mix,البريمي افضل من ناحية المواصفات لكن يحط اغراض ب 5000 ريال و يزيد السعر عليك ب 20 الف ريال زي ثلاجة و شاشة و اشياء تكميلية.
Neg,الاكورد أغلى سيارة بفئتها من حيث القطع.
Neg,عندي كامري موديل 98 و عندي مشكلة السيارة ما تشتغل مع العلم أن الكهرباء واصلة للسيارة.
Neg,طرمبة البنزين عطلانة.
Pos,موتر طيب و عزمه كفو.
Pos,العزل ممتاز شكلية حلوة.
Neg,انا جربته في الوكالة غير مريح انصدمت الحقيقة منه.
Neg,كان فيه مشكلة بالسييرا و السلفرادو الشكل القديم ان القير يسخن دايما.
Neg,غير مريح أبدا و ضيق خصوصا الغمارة كان عند اخوي.
Pos,اما عن راحته فانا و الله ركبت سلفرادو 2010 و أشوفه كويس مريح.
Pos,بصراحه انصحك و بشدة بالسييرا دامك راعي خطوط أرسى أقوى اريح.
Neg,موتر فاشل و كل اللي خذوه يشتكون من قساوته و حرارة القير لازم اللي ياخذه يغير مساعدات و مدري وش يغير عشان تخف القساوة.
Pos,ما شاء الله تبارك الله لا حرارة قير و لا مكينة كلها عال العال.
Mix,السلبيات صوت صفير يفقع أذنك بعضه يطلع اذا الجو فيه عج كذلك صوت الديكورات مع الحفر و المطبات قاسي و ينفض جنوطه و كفراته ما تناسب خطوط أبدا اما على الخطوط النظيفة الموتر و لا أروع.
Neg,سعر غويلي شوي بنسبه لي.
Pos,عزمها جبار ما شاء الله و مكيفها طيب.
Pos,تكييف ممتاز و صرفية حلوة انصحك فيها.
Neg,سعرها منطقي جدا و فرصة لك.
Neg,خرد تويوتا اللي عبارة عن قير و مكينة فقط لا مواصفات سلامة و لا مواصفات رفاهية كلها صفر مكعب.
Neg,عيبها الوحيد غلاء قطع الغيار فقط و خاصة البدي و الاكسسورات.
Mix,تجمع ما بين الاعتمادية و الفخامة و لو أنها أقل من الألماني بالفخامة. لكن ما تطلب مثل الألماني و تفرغ جيبك. أشوف انها من افضل السيارات في فئتها.
Mix,لا زال عليها طلب عالي مع قلةالمعروض و لايوجد موديلات 2016 جديدة الآن !.
Pos,2017 عليه تحسينات من حيث العزل و أصبح افضل قليلاً.
Neg,ابعد عن محرك 4 سلندر توروبو لأن جونا حار و لا يساعد و التوروبو يحتاج صيانة و لو اخترب تصليحه مكلف جدا.
Mix,السيارة ممتازة بشكل عام لكن لديها عيبين فقط و هما غلاء سعر قطع الغيار و سعر إعادة البيع للسيارة ينزل سعرها بسرعة.
Mix,السيارة حلوة. و فيها تقنية. و أرى انها مظلومة. عدم رغبه الناس فيها قد يكون لغلاء قطع الغيار.
Pos,تماسك ديكورات البدي لصالح التويوتا.
Pos,قوة عزم عزل الهواء راحه رساوة لصالح النيسان.
Pos,مشكلة النيسان الأزلية بالهربدة خلاص انتهت.
Pos,الجيل الجديد خصوصا 2016 و فوق تفادوا اغلب المشاكل و العيوب مثل الهربدة و مشاكل القير بمواتر السيدان.
Mix,النيسان مريح راسي و اغلب ملاكه اهل صيد و كبار لكن شفط بنزين و هربدة.
Neg,الاكورد قطعها راح تكون غالية جداً و ما راح تلقاها الا من الوكالة.
Neg,يعيب الأكورد مراتبها قاسية شوي.
Neg,السيارة للاستخدام داخل المدينة فقط اما كل يوم تداوم 200 كيلو ما تنفع أبدا لو مره بالشهر تسافر فيها مو مشكلة و لكن كل يوم تمسك خط و تقول لو صحيت متاخر تسرع ما تصلح شوف سيارة مستخدمة بفلوسك تكون فئة أكبر.
Neg,و الله ابد ما تناسب يا شيخ هاذي حتى ما توصل مواصيل الاكسنت تنفع بلد اما خطوط حتى لو اصفار ما اظن تكمل سنة خطوط و اذا تقصد 200 يوميا يبي لك موتر يجمل.
Pos,و الله كان معي فورد فيجو و كنت اسافر عليها مكة و الطايف و ما شاء الله عليها ممتازة.
Pos,و الله ابن خالة لي عندي سوفيت 2008 و كارف أمها خطوط و أنه سافر بها كثير من الجبيل للباحة و السيارة معه لحد الآن.
Pos,انا مجرب سويفت و بعتها و بعد فترة رجعت لها بصراحه السيارة للكرف و تجمل معاك و اقتصادية.
Pos,خذ فورد مريح في الخط.
Neg,توني شاري برادو 2012 و احس عزمه من 0 الى 80 ضعيف.
Mix,لاندكروزر ربع العشة يعود للحياة بمواصفات حديثة بس سعره غالي 333 الف.
Pos,مقدمة هجومية و خلفية متميزة.
Pos,أقوى محرك نزل على الافالون هي موديل 2005 بقوة 280 حصان.
Pos,داخلية جميلة جدا و أجمل داخلية نزلت على الافالون وسيعة و متميزة.
Pos,بما اني كنت من ملاكها انها افضل سيارات تويوتا الحديثة كاستعمال يومي و استخدام طرق طويلة و استهلاكها المعتدل المنخفض للبنزين بالكاد انها جمعت بين تقنية و صناعة اليابان و فخامة و راحه الامريكي.
Neg,في السابق كانت قطع غيارها رخيصة اما الآن نار.
Mix,الصني حصلت نص فل ب 33 ألف صناعة هندية و المكينة 1.5 لتر و ما أدري هل المكينة و القير مصنوعة في الهند أو في اليابان و تتميز أنها واسعة من الداخل لكن متخوف من بلد الصنع في الهند و يعيبها درايش الهندل في الخلف.
Pos,كشكل و مواصفات و صيانة الاكسنت و ما عليك بالقير السيارة عليها ضمان و كل الشوارع اكسنت و ال CVT تحسن كثير عن أول المهم المواظبة على تغيير زيت القير.
Pos,الصني تتميز بشيء واحد و هو برودة المكيف.
Neg,الصني غبية أحسها جاية بالطول و ما فيها عرض لدرجة حتى تكاية ما فيها.
Pos,الافضل اكسنت قطعها رخيصة و عملية انصحك باكسنت.
Pos,"الصني افضل سعر أقل, مساحة المقاعد الخلفية و الشنطة أوسع بفرق واضح!. مكيف الصني افضل من مكيف الاكسنت معروف مكيف الصني ما يحتاج مدح !."
Neg,تكييف الكوري بشكل عام ضعيف و ما يجمل مع الحر.
Pos,من تجربتي شفت ان الصني افضل من الاكسنت بمراحل من ناحية التكييف و الوسع و الرساوة و السعر مقابل المواصفات.
Neg,الاكسنت لو تجاوزتك تريلا اتوقع بتتقلب يلعب فيه الهواء من خفته.
Neg,ابعد عن الاكسنت و الصني اللي لو تمر جنبك تريله طلعك هواها خارج الشارع.
Neg,نحن مالكي سيارات تويوتا كامري 2007 لغاية 2010 نعاني من خراب الطبلون و ذوبانه كالشمع فيصبح هشا و متفتت، و كل مره نراجع الوكيل يقول الضمان منتهي، و ان شاء الله يشملكم الاستدعاء القادم !.
Neg,ترى الطبلون مو برخيص، جيت أغيره طلب 3700 ريال !. وش ذنبي أدفع المبلغ و المشكلة من عندهم ؟؟؟.
Neg,دايم تسمع اذا قالوا كابريس يقول لك ابعد و انحش و خرابات و صناعية لليل.
Pos,قسما بالله تصميم الكابرس بطل ذوق.
Pos,الكابرس سيارة ممتازة كشكل رسمي و مواصفات لا بأس فيها.
Neg,الكابرس يعاني بعضها من مشاكل ما تطلع في غيره طبعاً صحيح يكاد ينعدم ان السيارات تخلو من العيوب و الخرابات لكن شيء عن شيء يفرق.
Pos,ممكن تسوق ياباني أو كوري 5 الى 7 سنين ما تلفت لرديتره و لا تدري وش فيه اللهم مع تغيير الزيت هو اللي يشيك كأنه ناقص و يزيده شوي و نادر ينقص و تمشي سلام سلام و مراوح ما تدري عنها و مهما توقف في زحمات و حر و تشتغل السيارة متأكد بعد الله سبحانه وتعالى ان الموتر مرتاح و لا عليه خلاف هذا المقصود.
Neg, بيجي يوم يجحفلك مع ضغط الحرارة عندنا و بتصلحه و بيعيش فترة ما عنده مشكلة بس دورة التبريد كل فترة من الزمن تحصل انك تغير شي فيها اجباري خراطيش بلف رديتر مراوح تبرمج تصلح وهكذا.
Mix,الكدلك رغم فخامته و محد يجاريه للأسف ما يمشي سوقه كثير و السبب الناس ما لها خلق تعقيد يدور السهل اللي شغل و امش و اطرف ورشة تصلحه و عملي و يوفر جيبه الواحد وراه التزامات و غيره.
Pos,انا استخدمت كابرس 2011 لمدة اربع سنوات اقسم بالله اسافر الظهر و المكيف شغال و سرعتي ما بين 160 الى 180 ما تحرك امبير الحرارة نهائيا و بعت قبل شهرين ماشي 291000 و هو ممتاز.
Mix,الامريكي معطينك فخامة و أمان من بعد الله و ثقل وزن و مكينة قوية بس ما تصبر مثل الياباني بالطلبات.
Mix,الياباني فخامة و أمان ما يتقارن بالامريكي و المكينة ما هي قوية مثل الامريكي بس انها تصبر عليك و تتحمل ما تطلب.
Neg,انا شخصيا ما أثق يالكابريس كثير من ناحية الحرارة او أعطاله. الكابريس ما يطيح سعره كثير عبث كذا الا ان الناس عارفه انه راعي نكبات.
Pos,تويوتا و الجي أم  كلهن يتحملن الحرارة  و الكرف و الكد و الجور.
Neg,من أسوأ المواتر اللي استخدمتها اخذت اس اس 2012 وكالة المهم انه وراني الويل و الحرارة حدث و لا حرج على اني شخص محافظ و لاني راعي طيش و سرعة.
Neg,ما لها سوق حتى لو تاخذها جديدة و تنزلها السوق ما جابت شيء.
Neg,العيب ما هو في السيارة العيب في الوكيل المتحدة. لذلك اهرب بجلدك على قولة المثل.
Neg,ابعد عنها لعدة أسباب قطع الغيار و سعر البيع و خدمة الوكيل و لا سمح الله صار خراب و بغيت تصلحها في ورشة عادية 90% من الورش ما بيعرفون لها و ان لقيت حد يصلح لك بيكون سعره مرتفع.
Pos,الدودج شركة سيارات عزم هي و الكرايزلر سيارة فخامة.
Neg,قطع غيار سيارات الدودج عموما نار.
Neg,وقت التصليح تشعر انه الفلوس خسارة فيها لانها لا تتحمل مثل سيارات اصدقاءك. 
